Date,Name,Year,Letterboxd URI
2022-10-26,Booksmart,2019,https://boxd.it/igNS
2022-10-26,In Bruges,2008,https://boxd.it/20n8
2022-10-26,Hot Fuzz,2007,https://boxd.it/2416
2022-11-04,The Secret in Their Eyes,2009,https://boxd.it/1vWw
2022-11-08,Oedipus Rex,1967,https://boxd.it/WgK
2022-11-24,Zola,2020,https://boxd.it/jEWQ
2022-11-24,Up,2009,https://boxd.it/1OEc
2022-11-24,City of God,2002,https://boxd.it/2a2a
2022-12-26,Allied,2016,https://boxd.it/cP42
2022-12-28,Murder on the Orient Express,2017,https://boxd.it/dHjA
2023-01-12,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2023-01-12,Daisies,1966,https://boxd.it/LZk
2023-01-12,Metropolis,1927,https://boxd.it/71a
2023-01-12,The Fabelmans,2022,https://boxd.it/ugoM
2023-01-16,"Paris, 13th District",2021,https://boxd.it/s0Ky
2023-01-23,Shortbus,2006,https://boxd.it/28So
2023-01-26,There Will Be Blood,2007,https://boxd.it/20Z2
2023-01-26,Spencer,2021,https://boxd.it/qPMG
2023-01-26,The Florida Project,2017,https://boxd.it/dMG0
2023-02-05,Return to Seoul,2022,https://boxd.it/zXDg
2023-02-08,Ali,2001,https://boxd.it/205e
2023-02-08,About Time,2013,https://boxd.it/43bI
2023-02-09,Casino,1995,https://boxd.it/2ads
2023-02-23,Carlito's Way,1993,https://boxd.it/226e
2023-02-23,Blue Valentine,2010,https://boxd.it/MxG
2023-02-24,Sisu,2022,https://boxd.it/vHpu
2023-02-25,Bruiser,2022,https://boxd.it/ClRq
2023-03-01,Empire of Light,2022,https://boxd.it/uGpm
2023-03-13,Brothers,2009,https://boxd.it/20WW
2023-03-13,Nightcrawler,2014,https://boxd.it/780m
2023-03-13,Invictus,2009,https://boxd.it/1zPk
2023-03-13,Women Talking,2022,https://boxd.it/tdq4
2023-03-16,No Sudden Move,2021,https://boxd.it/o7WS
2023-03-16,Faces,1968,https://boxd.it/29Ia
2023-03-29,It Follows,2014,https://boxd.it/87wo
2023-03-29,Fractured,2019,https://boxd.it/kPL2
2023-04-08,Scarlet,2022,https://boxd.it/vGLk
2023-04-11,OSS 117: Lost in Rio,2009,https://boxd.it/1LVu
2023-04-11,Fallen Angels,1995,https://boxd.it/1UkW
2023-04-13,Locke,2013,https://boxd.it/6hHC
2023-04-29,RRR,2022,https://boxd.it/ljDs
2023-05-01,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2023-05-03,Eastern Promises,2007,https://boxd.it/275q
2023-05-03,Eat Pray Love,2010,https://boxd.it/16Cc
2023-05-03,Amour,2012,https://boxd.it/34Q6
2023-05-06,Storks,2016,https://boxd.it/aUo8
2023-05-09,The Gambler,2014,https://boxd.it/8NUi
2023-05-20,Air,2023,https://boxd.it/Arlc
2023-05-20,Hacksaw Ridge,2016,https://boxd.it/azew
2023-05-21,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-05-23,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw
2023-05-28,Princes and Princesses,2000,https://boxd.it/3eE
2023-05-29,Chuck,2016,https://boxd.it/cY2u
2023-06-02,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2023-06-02,Beautiful Boy,2018,https://boxd.it/g76Q
2023-06-02,Wild Tales,2014,https://boxd.it/7UmK
2023-06-12,My Name,2021,https://boxd.it/xqQM
2023-06-13,Long Day's Journey into Night,2018,https://boxd.it/hw1I
2023-07-01,How to Have Sex,2023,https://boxd.it/EFIM
2023-07-16,Focus,2015,https://boxd.it/7zl2
2023-07-27,Paprika,2006,https://boxd.it/23wW
2023-08-11,Yannick,2023,https://boxd.it/G2es
2023-08-14,Mad God,2021,https://boxd.it/vVPm
2023-08-15,No Hard Feelings,2023,https://boxd.it/xouu
2023-08-27,Reprise,2006,https://boxd.it/1Sji
2023-08-28,Parasite,2019,https://boxd.it/hTha
2023-08-28,Gone Baby Gone,2007,https://boxd.it/23R6
2023-09-30,All the Bright Places,2020,https://boxd.it/bpfQ
2023-10-03,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG
2023-10-04,Annihilation,2018,https://boxd.it/9yzm
2023-10-06,A Most Violent Year,2014,https://boxd.it/75Va
2023-10-08,Bridge to Terabithia,2007,https://boxd.it/28YG
2023-10-13,The Elephant Man,1980,https://boxd.it/27LQ
2023-10-13,Man Bites Dog,1992,https://boxd.it/1X7Q
2023-10-19,The Souvenir,2019,https://boxd.it/gXU4
2023-10-22,Scenes from a Marriage,2021,https://boxd.it/wzSU
2023-11-05,Gangster Squad,2013,https://boxd.it/2TVa
2023-11-06,Blood Diamond,2006,https://boxd.it/28Tm
2023-11-13,The Old Oak,2023,https://boxd.it/AEng
2023-11-17,The Wall,2017,https://boxd.it/eh1s
2023-11-17,The Nature of Love,2023,https://boxd.it/ym6i
2023-11-20,Jojo Rabbit,2019,https://boxd.it/iEBG
2023-11-20,Amadeus,1984,https://boxd.it/2aH8
2023-11-20,Life Is Beautiful,1997,https://boxd.it/29Wm
2023-12-12,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2023-12-25,Perfect Days,2023,https://boxd.it/ATh8
2023-12-27,Poor Things,2023,https://boxd.it/tNWU
2023-12-27,Causeway,2022,https://boxd.it/lWQq
2023-12-30,Don't Worry Darling,2022,https://boxd.it/mViu
2023-12-30,Sick of Myself,2022,https://boxd.it/tEzs
2024-01-02,Maestro,2023,https://boxd.it/j0DE
2024-01-02,The Iron Claw,2023,https://boxd.it/w5Pm
2024-01-09,Priscilla,2023,https://boxd.it/Cz3k
2024-01-13,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2024-01-16,Mean Girls,2004,https://boxd.it/1VNg
2024-01-18,Bleed for This,2016,https://boxd.it/aYi4
2024-01-18,Little White Lies 2,2019,https://boxd.it/jNXo
2024-01-19,Charlie Countryman,2013,https://boxd.it/YYE
2024-01-22,Point Break,1991,https://boxd.it/2958
2024-01-22,One Day,2011,https://boxd.it/Asu
2024-01-22,10 Things I Hate About You,1999,https://boxd.it/23AO
2024-01-22,Upgrade,2018,https://boxd.it/i4gW
2024-01-26,All of Us Strangers,2023,https://boxd.it/Bz3C
2024-02-01,Due Date,2010,https://boxd.it/YFs
2024-02-11,Unthinkable,2010,https://boxd.it/16y0
2024-02-21,The Zone of Interest,2023,https://boxd.it/gJsA
2024-02-26,The Magnificent Seven,2016,https://boxd.it/aZAy
2024-02-26,Total Recall,2012,https://boxd.it/Ro
2024-02-29,American Fiction,2023,https://boxd.it/DYHm
2024-03-02,The Empire,2024,https://boxd.it/z2YG
2024-03-11,The Holdovers,2023,https://boxd.it/vHza
2024-03-13,mid90s,2018,https://boxd.it/fxIa
2024-03-15,Vesper,2022,https://boxd.it/ASlI
2024-04-15,Europa Report,2013,https://boxd.it/5n0s
2024-04-15,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-04-19,Detachment,2011,https://boxd.it/2BiY
2024-04-30,Daaaaaalí!,2023,https://boxd.it/DzQe
2024-05-03,I Origins,2014,https://boxd.it/7aRM
2024-05-05,Awakenings,1990,https://boxd.it/1USu
2024-05-06,Pacifiction,2022,https://boxd.it/pOfa
2024-05-06,The Nile Hilton Incident,2017,https://boxd.it/fb06
2024-05-08,Shooter,2007,https://boxd.it/20TS
2024-05-09,Me Before You,2016,https://boxd.it/9n98
2024-05-12,Big Little Lies,2017,https://boxd.it/fYde
2024-05-20,Honor Society,2022,https://boxd.it/z1Bw
2024-05-24,"Synecdoche, New York",2008,https://boxd.it/23zw
2024-05-24,Lucy,2014,https://boxd.it/75hu
2024-05-25,White Plastic Sky,2023,https://boxd.it/lBXq
2024-05-25,Promising Young Woman,2020,https://boxd.it/loRE
2024-05-25,That Awkward Moment,2014,https://boxd.it/6Ftu
2024-05-26,Bird,2024,https://boxd.it/GGhm
2024-05-26,The Most Precious of Cargoes,2024,https://boxd.it/vMSc
2024-05-26,Beating Hearts,2024,https://boxd.it/AeF4
2024-05-26,The World's End,2013,https://boxd.it/3EiO
2024-05-31,The Outrun,2024,https://boxd.it/txPo
2024-05-31,Lady Vengeance,2005,https://boxd.it/248G
2024-06-06,The Age of Adaline,2015,https://boxd.it/9ghu
2024-06-10,Time Masters,1982,https://boxd.it/1Atu
2024-06-16,The Vow,2012,https://boxd.it/2o4Y
2024-06-17,Fried Green Tomatoes,1991,https://boxd.it/28qY
2024-06-18,I Saw the TV Glow,2024,https://boxd.it/woVe
2024-06-19,Ghost in the Shell 2: Innocence,2004,https://boxd.it/1SrG
2024-06-20,No Reservations,2007,https://boxd.it/256w
2024-06-20,Am I OK?,2022,https://boxd.it/nPqY
2024-06-26,Deep Water,2022,https://boxd.it/mVHk
2024-07-01,Road House,2024,https://boxd.it/cdzQ
2024-07-03,Homefront,2013,https://boxd.it/67Wi
2024-07-13,The Wandering Earth II,2023,https://boxd.it/vMIc
2024-07-15,What Happened to Monday,2017,https://boxd.it/ejUu
2024-07-15,The French Connection,1971,https://boxd.it/296g
2024-07-17,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2024-07-19,8MM,1999,https://boxd.it/20sC
2024-07-24,Longlegs,2024,https://boxd.it/KzLM
2024-08-02,The Endless,2017,https://boxd.it/ffyw
2024-08-13,Sideways,2004,https://boxd.it/1Y5c
2024-08-13,2010: The Year We Make Contact,1984,https://boxd.it/24lK
2024-08-15,My Own Private Idaho,1991,https://boxd.it/2ak4
2024-08-17,Phantom Thread,2017,https://boxd.it/e4uc
